City;County Number
URBANDALE;77
INDIANOLA;91
OSKALOOSA;62
OTTUMWA;90
DES MOINES;77
TOLEDO;86
OAKLAND;78
KEOKUK;56
IOWA CITY;52
SIOUX CITY;97
WEST DES MOINES;77
CEDAR RAPIDS;57
WINDSOR HEIGHTS;77
MUSCATINE;70
CORALVILLE;52
ATLANTIC;15
STORM LAKE;11
COUNCIL BLUFFS;78
DAVENPORT;82
DUBUQUE;31
ALTON;84
WATERLOO;7
ALTOONA;77
ANAMOSA;53
HIAWATHA;57
HUMBOLDT;46
NEOLA;78
SPRINGVILLE;57
DECORAH;96
NEVADA;85
BONDURANT;77
CHEROKEE;18
ADEL;25
CEDAR FALLS;7
BETTENDORF;82
CLEAR LAKE;17
ANKENY;77
LEMARS;75
MAQUOKETA;49
SIOUX CENTER;84
WEBSTER CITY;40
MILFORD;30
CLINTON;23
ALBIA;68
ARLINGTON;33
WEST UNION;33
TIFFIN;52
FORT DODGE;94
EAGLE GROVE;99
AMES;85
LAKE CITY;13
PLEASANT HILL;77
SPENCER;21
WHITTEMORE;55
NORTH LIBERTY;52
MOUNT AYR;80
GRIMES;77
ESTHERVILLE;32
HARTLEY;71
AVOCA;78
WAVERLY;9
MONTICELLO;53
LENOX;87
CLARINDA;73
ELDORA;42
LAMONI;27
BURLINGTON;29
GEORGE;60
MURRAY;20
FAIRFIELD;51
JOHNSTON;77
MASON CITY;17
EVANSDALE;7
GRINNELL;79
SHELLSBURG;6
EMMETSBURG;74
CENTRAL CITY;57
HARLAN;83
CRESTON;88
DYERSVILLE;31
RED OAK;69
RIVERSIDE;92
CARROLL;14
LE CLAIRE;82
WAUKEE;25
MOUNT PLEASANT;44
OSAGE;66
BELMOND;
INDEPENDENCE;10
SPIRIT LAKE;30
POCAHONTAS;76
WINTERSET;61
STUART;1
LARCHWOOD;60
ROCKWELL CITY;13
HAMPTON;35
NEWTON;50
MT VERNON;57
SANBORN;71
SIBLEY;72
LE MARS;75
OELWEIN;33
SHENANDOAH;73
WASHINGTON;92
GRAETTINGER;74
OTTUWMA;90
ARNOLD'S PARK;30
FORT MADISON;56
OSCEOLA;20
LA PORTE CITY;7
DENISON;24
MARENGO;48
SLOAN;97
POSTVILLE;3
CHARLES CITY;34
MEDIAPOLIS;29
HAWARDEN;84
PLEASANTVILLE;63
MARION;57
CASCADE;31
HUBBARD;42
STORY CITY;85
SIGOURNEY;54
GREENE;12
CENTERVILLE;4
BANCROFT;55
LAURENS;76
MELCHER-DALLAS;63
CLARKSVILLE;12
BLUE GRASS;82
GLENWOOD;65
RAYMOND;7
MARSHALLTOWN;64
WAUKON;3
WALL LAKE;81
BRITT;41
IOWA FALLS;42
BOONE;8
CENTER POINT;57
TIPTON;16
GREENFIELD;1
DUNLAP;43
MANCHESTER;28
SCHLESWIG;24
COLFAX;50
WESLEY;55
MONONA;22
JEFFERSON;37
CLIVE;77
GUTTENBURG;22
KNOXVILLE;63
OSSIAN;96
SERGEANT BLUFF;97
NORTHWOOD;98
GUTTENBERG;22
LAKE VIEW;81
KEOSAUQUA;89
GOWRIE;94
ONAWA;67
ELDRIDGE;82
CORYDON;93
WAPELLO;58
WEST BRANCH;16
MANSON;13
MOUNT VERNON;57
SHELDON;71
HOLSTEIN;47
BUFFALO CENTER;95
LAKE MILLS;95
PAULLINA;71
BELLEVUE;49
FOREST CITY;95
PERRY;25
GRUNDY CENTER;38
GOLDFIELD;99
WEST BURLINGTON;29
BELLE PLAINE;6
LE GRAND;64
WILLIAMSBURG;48
HOLY CROSS;31
NORWALK;91
MONTEZUMA;79
NEW HAMPTON;19
PANORA;39
WELLMAN;90
ST ANSGAR;66
CLARION;99
POLK CITY;77
GRAND MOUND;23
DEWITT;23
SUMNER;9
ROCK VALLEY;84
SWISHER;52
RUTHVEN;74
ELKADER;22
ALDEN;42
ROCKWELL;17
MISSOURI VALLEY;43
LOGAN;43
ANITA;15
FT. ATKINSON;96
WILTON;70
CRESCO;45
BROOKLYN;79
CHARITON;59
VICTOR;79
MARCUS;18
FORT ATKINSON;96
ROCK RAPIDS;60
PELLA;63
ALGONA;55
SUTHERLAND;71
KINGSLEY;75
TREYNOR;78
ACKLEY;94
MANNING;14
MAPLETON;67
KELLOGG;50
ALLISON;12
ELLSWORTH;40
VINTON;6
NASHUA;19
PRIMGHAR;71
IDA GROVE;47
CAMANCHE;23
DONNELLSON;56
AKRON;75
GRISWOLD;15
HARPERS FERRY;3
ARNOLDS PARK;30
GUTHRIE CENTER;39
FONTANELLE;1
GRANGER;25
BLOOMFIELD;26
FLOYD;34
NORTH ENGLISH;48
STRATFORD;40
LECLAIRE;82
WEST BEND;55
DE SOTO;25
WOODBINE;43
AUDUBON;5
PARKERSBURG;12
CORNING;22
FARMINGTON;89
DURANT;16
WEST LIBERTY;70
ORANGE CITY;84
COON RAPIDS;14
DUMONT;12
SAC CITY;81
WOODWARD;25
COLUMBUS JUNCTION;58
FAIRBANK;10
CAMBRIDGE;77
LEON;27
INWOOD;60
EARLHAM;61
TRAER;86
SOLON;52
EDGEWOOD;22
FAIRFAX;57
SIOUX RAPIDS;11
ANTHON;97
HUDSON;7
CARTER LAKE;78
MAXWELL;85
GARNAVILLO;22
ARMSTRONG;32
EDDYVILLE;90
STATE CENTER;48
WHEATLAND;23
PRAIRIE CITY;50
BEDFORD;87
ROLFE;76
FONDA;76
LANSING;3
SLATER;85
MT PLEASANT;44
ZWINGLE;49
SCRANTON;37
DELMAR;23
GARNER;41
FAYETTE;33
HUXLEY;85
TRIPOLI;9
ADAIR;1
LISBON;57
PACIFIC JUNCTION;65
STRAWBERRY POINT;22
WELLSBURG;38
DENVER;9
WEST POINT;56
GLADBROOK;48
IRETON;84
DAYTON;94
EXIRA;5
CRESCENT;78
POMEROY;13
RICEVILLE;66
OGDEN;8
WINTHROP;10
MCGREGOR;22
VAN METER;25
ST CHARLES;61
MONROE;50
ALTA VISTA;19
PALO;57
CORWITH;41
WALNUT;78
CONRAD;38
NORA SPRINGS;34
ELDON;90
MADRID;8
MORAVIA;4
BUSSEY;63
EARLY;81
BAXTER;50
OKOBOJI;30
AFTON;88
SULLY;50
GLIDDEN;14
ELMA;45
HAMBURG;36
URBANA;6
LAWLER;19
LAKE PARK;30
EVERLY;21
REINBECK;38
ELY;57
OTHO;94
JESUP;10
REMSEN;75
ST LUCAS;33
HAZLETON;10
COLESBURG;28
GRAND JUNCTION;37
BEVINGTON;61
MECHANICSVILLE;16
DAKOTA CITY;46
PEOSTA;31
KELLOG;50
SHEFFIELD;35
MALVERN;65
KEOTA;54
BALDWIN;49
MARTENSDALE;91
LOST NATION;23
CARLISLE;91
BUFFALO;82
LOVILIA;68
FARLEY;31
GILMORE CITY;46
SCHALLER;81
DANVILLE;29
DOWS;99
COLO;85
AURELIA;18
FREDERICKSBURG;19
CASEY;39
HOSPERS;84
WASHBURN;7
MONTROSE;56
ALTA;11
DYSART;86
DELAWARE;28
JEWELL;40
MANLY;98
SWEA CITY;55
CHESTER;45
PRESTON;49
NEW SHARON;62
STANWOOD;16
PRINCETON;82
VILLISCA;69
HUMESTON;93
WALKER;57
LATIMER;35
NEW VIRGINIA;91
MERRILL;75
MINDEN;78
DELHI;28
MELBOURNE;64
CUMMING;91
ROBINS;57
WALFORD;57
