County Number;County
77;POLK
91;WARREN
62;MAHASKA
90;WAPELLO
86;TAMA
78;POTTAWATTAMIE
56;LEE
52;JOHNSON
97;WOODBURY
57;LINN
70;MUSCATINE
15;CASS
11;BUENA VISTA
82;SCOTT
31;DUBUQUE
84;SIOUX
7;BLACK HAWK
53;JONES
46;HUMBOLDT
96;WINNESHIEK
85;STORY
18;CHEROKEE
25;DALLAS
17;CERRO GORDO
75;PLYMOUTH
49;JACKSON
40;HAMILTON
30;DICKINSON
23;CLINTON
68;MONROE
33;FAYETTE
94;WEBSTER
99;WRIGHT
13;CALHOUN
21;CLAY
55;KOSSUTH
80;RINGGOLD
32;EMMET
71;O'BRIEN
9;BREMER
87;TAYLOR
73;PAGE
42;HARDIN
27;DECATUR
29;DES MOINES
60;LYON
20;CLARKE
51;JEFFERSON
79;POWESHIEK
6;BENTON
74;PALO ALTO
83;SHELBY
88;UNION
69;MONTGOMERY
92;WASHINGTON
14;CARROLL
44;HENRY
66;MITCHELL
10;BUCHANAN
76;POCAHONTAS
61;MADISON
1;ADAIR
35;FRANKLIN
50;JASPER
72;OSCEOLA
24;CRAWFORD
48;IOWA
3;ALLAMAKEE
34;FLOYD
63;MARION
54;KEOKUK
12;BUTLER
4;APPANOOSE
65;MILLS
64;MARSHALL
81;SAC
41;HANCOCK
8;BOONE
16;CEDAR
43;HARRISON
28;DELAWARE
22;CLAYTON
37;GREENE
98;WORTH
89;VAN BUREN
67;MONONA
93;WAYNE
58;LOUISA
47;IDA
95;WINNEBAGO
38;GRUNDY
19;CHICKASAW
39;GUTHRIE
45;HOWARD
59;LUCAS
26;DAVIS
5;AUDUBON
2;ADAMS
36;FREMONT
