Item Number;Item Description;Bottle Volume (ml);Category;Vendor Number
22156;WILD TURKEY 101;750;1011200;461
68037;BAILEY'S ORIGINAL IRISH CREAM;1000;1081200;260
82857;DEKUYPER ISLAND PUNCH PUCKER;1000;1081365;65
73533;DEKUYPER 03;750;1081900;65
53216;PAUL MASSON GRANDE AMBER BRANDY;750;1051010;115
63755;TGI FRIDAYS MUDSLIDE;1750;1071100;260
81204;PARAMOUNT PEPPERMINT SCHNAPPS;375;1081300;434
11294;CROWN ROYAL CANADIAN WHISKY;375;1012100;260
44658;LADY BLIGH SPICED RUM;1750;1062310;434
38176;TITOS VODKA;750;1031080;301
15244;WINDSOR CANADIAN SUPREME WHISKY;375;1012100;65
78456;PARAMOUNT CREME DE CACAO/DARK;750;1081220;434
36304;HAWKEYE VODKA;375;1031080;434
37338;UV VODKA PET;1750;1031080;380
2666;HENNESSY VS FLASK SLEEVE;200;1701100;420
71441;AFTER SHOCK CINNAMON LIQUEUR MINI;500;1081315;65
23626;FIVE STAR PET;750;1011100;297
28086;BEEFEATER GIN;750;1042100;370
28238;BOMBAY SAPPHIRE GIN;1750;1042100;35
41783;UV BLUE RASPBERRY VODKA MINI;500;1031200;380
52806;KORBEL BRANDY;750;1051010;85
30316;GORDON'S GIN LONDON DRY;750;1041100;260
35918;FIVE O'CLOCK VODKA;1750;1031080;297
86251;JUAREZ TRIPLE SEC;1000;1081400;434
43036;BACARDI GOLD RUM;750;1062200;35
75210;KINKY LIQUEUR;750;1081900;322
43210;BACARDI WOLF BERRY;750;1062300;35
27102;TEMPLETON RYE;750;1011500;255
43387;CASTILLO SILVER RUM;1000;1062200;35
12404;CANADIAN LTD WHISKY;375;1012100;55
80456;RYAN'S CREAM LIQUEUR;750;1081200;330
36447;INGENIOZ;750;1031080;154
11296;CROWN ROYAL;750;1012100;260
5596;MCCLELLAND HIGHLAND;750;1012210;65
34197;CIROC LUXURY VODKA;375;1032080;260
32236;SEAGRAMS EXTRA DRY GIN;750;1041100;370
43331;CAPTAIN MORGAN SPICED RUM MINI;500;1062310;260
4867;DEWARS WHITE LABEL SCOTCH;1000;1062310;35
34423;GREY GOOSE VODKA;375;1032080;35
11776;BLACK VELVET;750;1012100;115
21597;TEN HIGH;1000;1011200;55
89199;JOSE CUERVO ESPECIAL REPOSADO SQUARE;375;1022100;395
36306;HAWKEYE VODKA;750;1031080;434
34422;GREY GOOSE VODKA;1000;1032080;35
28233;BOMBAY SAPPHIRE GIN;1000;1042100;35
52593;E & J VS BRANDY;200;1051010;205
52596;E & J VS;750;1051010;205
32234;SEAGRAMS EXTRA DRY GIN;375;1041100;370
65257;JAGERMEISTER LIQUEUR;1000;1082900;192
32231;SEAGRAMS EXTRA DRY GIN MINI;500;1041100;370
63550;TGIF ON THE ROCKS LONG ISLAND ICE TEA;750;1071100;260
8827;LAUDER'S;1000;1012200;55
67527;KAHLUA COFFEE LIQUEUR;1000;1081030;370
38008;SMIRNOFF VODKA 80 PRF PET;1750;1031080;260
36886;MCCORMICK VODKA;750;1031100;300
37336;UV VODKA;750;1031080;380
41806;SMIRNOFF VANILLA VODKA;750;1031200;260
82867;DEKUYPER WATERMELON PUCKER;1000;1081370;65
52591;E & J VS BRANDY MINI;500;1051010;205
41116;JEREMIAH WEED PEACH SWEET TEA;750;1031200;260
5433;LAPHROAIG QUARTER CASK;750;1012200;65
64866;FIREBALL CINNAMON WHISKEY;750;1081600;421
36904;MCCORMICK VODKA PET;375;1031080;300
69667;DR. MCGILLICUDDY'S VANILLA;1000;1081390;421
43048;BACARDI SELECT RUM;1750;1062200;35
27453;CINERATOR MINI;500;1081600;259
77318;RONDIAZ RUM SPICED;1750;1062310;322
41698;UV IVORY (VANILLA) VODKA;750;1031200;380
82847;DEKUYPER PEACHTREE;1000;1081330;65
65256;JAGERMEISTER LIQUEUR;750;1082900;192
10550;BLACK VELVET TOASTED CARAMEL;750;1012100;115
26827;JACK DANIELS OLD #7 BLACK LBL;1000;1011300;85
43136;BACARDI LIMON;750;1062300;35
84143;99 CINNAMON MINI;600;1081380;55
10627;CANADIAN CLUB WHISKY;1000;1012100;65
10836;CROWN ROYAL BLACK;750;1012100;260
41927;BURNETT'S FRUIT PUNCH;750;1031200;259
19061;JIM BEAM MINI;500;1011200;65
11788;BLACK VELVET;1750;1012100;115
26820;JACK DANIELS OLD #7 BLACK LBL FLAT;375;1011300;85
89196;JOSE CUERVO ESPECIAL REPOSADO TEQUILA;750;1022100;395
48105;HENNESSY VS;375;1052010;420
27433;BIRD DOG PEACH FLAVORED WHISKEY;750;1011100;492
45248;PARAMOUNT GOLD RUM;1750;1062200;434
35318;BARTON VODKA;1750;1031080;55
65258;JAGERMEISTER LIQUEUR;1750;1082900;192
42716;MALIBU COCONUT RUM;750;1062300;370
33672;GREY GOOSE LE MELON;750;1032200;35
