Vendor Number;Store Number
461;4614
260;2549
65;3990
65;3573
115;4057
260;3942
434;2445
260;4622
434;3587
301;2285
65;5083
434;2619
434;4637
380;2620
420;2535
65;3907
297;2670
370;2591
35;2576
380;4649
85;2841
260;2637
297;3776
434;3926
35;2524
322;4442
35;2619
255;2511
35;3494
55;2620
330;3644
154;2487
297;2643
260;4624
65;3728
260;2599
370;3917
260;2606
35;2606
35;4414
115;4934
55;4183
395;3943
434;4757
35;3529
35;4677
205;2626
205;4718
370;3896
192;4648
370;4384
260;2835
55;2191
370;3952
260;4969
297;4725
255;2604
461;4069
297;3612
300;4630
380;2660
260;2573
65;2487
205;2602
260;2576
65;3869
421;4803
300;3390
421;2573
35;2616
259;4879
322;4011
380;2662
65;2498
260;2132
192;4366
115;4311
85;4236
35;3632
55;2662
260;3805
259;4340
65;4167
115;4998
85;4420
395;3738
420;2508
260;2536
492;2624
434;2565
55;3354
192;4574
370;3928
35;2590
85;2961
370;3521
421;3813
434;4209
259;2556
65;2576
421;3576
192;3700
35;3926
434;2630
434;2663
370;2500
380;4146
421;3385
300;4252
434;4219
55;3477
461;2502
65;4297
421;5110
434;2614
370;2655
192;4455
370;4481
259;3970
85;4819
55;4419
65;4794
35;4257
260;3390
259;3740
260;4336
65;3858
65;2527
260;4833
85;3728
260;2601
260;2638
35;4797
260;2587
260;4104
259;4794
65;3926
297;4294
297;4223
260;3778
115;3054
260;4346
461;2649
434;4592
297;4021
240;3704
434;4299
434;5034
410;3962
65;2506
260;2487
259;2553
260;3849
260;3816
395;2635
260;4131
35;3910
395;3696
434;2509
55;4688
434;4626
300;2633
370;2590
421;5093
260;4794
434;3721
301;2665
434;2558
205;2593
434;3773
380;2594
380;2626
55;2601
421;2506
492;2954
65;2954
115;2621
65;3385
65;2190
421;4559
260;3926
322;2205
297;4247
115;2647
55;2618
65;4148
85;2522
259;3926
115;4265
294;2623
115;5105
260;3783
115;4404
434;2672
370;3461
434;3461
395;4988
370;3728
461;2954
297;2605
421;4681
297;2953
65;4006
297;4349
380;3890
380;2625
434;4586
380;2460
255;2190
300;4835
115;4630
115;4764
115;4012
260;4604
35;2954
260;2593
260;3692
260;3833
260;2556
205;4558
421;4485
35;4589
85;2582
85;2590
65;2521
259;4987
421;4277
55;2619
85;3618
260;2538
300;3959
260;2524
297;4156
65;4483
421;3698
260;2367
85;3899
115;3525
300;4068
65;2587
55;4899
395;3853
260;3888
370;4818
420;3820
35;2666
301;2543
434;2618
260;4829
297;2130
35;5104
389;4686
35;2652
421;4984
260;4344
461;4619
65;4545
461;2962
380;2550
260;2510
65;4757
434;2624
65;2597
55;3808
285;2587
260;3618
260;2568
85;4312
380;4165
322;2582
205;4219
434;3663
380;4899
115;3761
259;2595
260;3417
434;4075
322;4295
260;3690
434;4246
297;3632
421;3916
370;2487
35;4444
260;4273
260;2561
395;2616
205;4034
240;2634
434;2596
277;4229
380;2578
410;4829
370;2637
85;2572
380;4303
260;2633
421;4258
434;2501
260;4114
65;2529
300;2555
65;4939
421;2653
65;3763
192;4134
260;3877
301;2847
85;2576
395;3728
55;2558
461;4171
65;3390
65;2532
260;3972
260;2962
259;4081
434;2502
115;4183
65;2502
380;2564
192;3943
85;4588
260;2660
115;3774
260;4674
115;2614
65;4883
85;2536
259;3400
259;2591
115;3963
85;4273
259;2605
192;2130
35;3691
461;2633
192;4819
300;4867
305;2670
434;3676
260;4004
55;4148
410;2638
434;3784
461;2543
395;3773
461;3820
421;2602
395;4640
115;4027
434;3726
205;2524
55;2543
35;4617
297;2624
205;4215
434;4146
260;3622
115;3842
115;4156
380;3769
35;3670
420;2558
85;4757
85;3616
380;2619
305;2666
421;2625
300;3981
434;2629
205;2620
55;3890
85;3912
65;2550
259;4209
434;3909
395;2622
115;4538
395;4347
277;2624
395;3704
370;4467
395;4686
260;4819
55;4010
115;3819
380;5031
370;3881
260;3773
421;3857
205;2565
65;3707
65;2560
300;4612
260;4957
410;4640
330;4253
297;4874
55;2576
260;2191
260;4662
55;3719
434;3045
55;2527
260;3536
55;3584
115;4694
410;2539
259;3644
434;3783
395;2505
370;2620
260;4439
192;4164
65;2635
434;2616
421;2502
55;4269
260;4988
260;3757
395;4317
260;2506
395;4346
65;2513
260;2552
259;3612
434;3440
35;4451
260;2603
395;2545
65;3692
65;4307
260;3385
115;4487
421;3352
260;4097
260;2465
259;2621
380;3565
115;4681
305;3990
370;2565
260;4015
301;3494
380;4804
115;2627
35;4252
370;2652
35;4725
260;3776
35;2961
384;2523
259;4932
65;4080
260;4023
461;2626
65;2545
65;3041
380;3632
55;2567
297;5105
65;2592
434;4340
55;3761
91;2285
330;4193
260;3629
260;2565
260;4373
260;4736
260;3761
205;3869
260;3162
297;3986
55;2633
260;3682
205;4012
65;2614
260;3563
35;2552
395;2959
65;3644
65;3679
35;4448
55;2624
434;4109
260;4653
322;3763
421;5001
35;2565
389;4877
300;4626
461;3973
115;4189
434;2552
115;3477
434;3952
322;2565
35;4764
395;2552
205;3855
380;2605
205;4353
259;5001
115;3782
434;3818
55;2500
85;3820
35;3920
65;2629
420;2605
65;4269
260;4007
260;2248
421;4197
395;2623
380;3664
434;2626
410;2593
380;4672
205;2649
330;2561
35;3857
395;3592
65;2627
115;2625
240;3820
434;4183
370;2501
65;2653
85;2205
434;3670
380;4118
434;2644
434;3789
434;4303
260;4296
260;2663
395;2191
115;2113
115;3723
260;3811
260;4311
380;3782
461;2652
115;2595
370;4108
395;3529
297;4331
260;2508
434;2562
259;4464
55;2659
434;4413
205;2953
434;2549
395;3525
35;2599
260;2622
492;2514
85;4170
301;4344
434;3830
260;2512
85;4014
395;2527
260;3912
305;3869
370;3645
384;2619
65;4583
260;3859
434;3762
259;2571
380;4129
65;2604
434;2106
85;4223
434;4641
115;3612
115;2510
85;2290
65;2644
115;2228
434;3495
370;4186
55;2190
259;2623
240;3354
421;2637
370;4949
260;2666
65;4251
322;3829
205;4297
260;4743
322;4594
297;3592
370;5123
65;3621
305;4112
420;2620
434;2587
260;3728
55;3645
380;2548
395;2512
65;2648
65;2561
395;2599
370;2522
370;2624
370;4083
370;4900
297;2506
434;4648
384;2666
205;3789
260;2290
434;2487
434;4291
65;2522
421;5045
259;3894
260;3899
115;4481
384;3773
115;4098
260;2500
420;2501
259;4265
85;3650
65;4462
260;3612
370;3738
370;3385
434;4876
434;3920
434;4276
260;2594
65;2555
297;4173
55;3524
260;3488
260;2625
240;2629
85;4453
65;2575
300;5125
255;2612
115;2650
395;3690
115;4974
380;4572
35;2512
115;4222
370;3612
205;3663
259;2564
259;2509
300;4556
370;3698
297;4857
395;3663
259;3650
260;4046
65;4379
35;4025
259;3529
35;3514
115;2588
434;2633
434;2517
434;4269
205;4640
420;2522
421;3942
259;2629
260;2528
55;3632
260;2518
434;4644
35;4073
380;4167
240;2529
370;2651
370;2536
205;3440
85;4177
260;2522
260;2652
205;3390
370;4807
115;4197
260;2572
65;2616
55;2613
384;2651
65;3757
380;2593
115;3735
65;2501
205;2515
115;4644
260;3704
434;2590
322;2510
260;2647
434;2593
85;4708
55;3841
384;3806
65;3995
205;4382
301;4209
370;4146
55;2643
65;3514
260;4188
434;3563
380;4597
260;2505
420;2637
370;2602
434;4163
260;2648
35;4742
35;2618
421;4092
434;3065
85;4648
434;3162
421;4291
115;2836
380;3942
410;2560
260;4691
370;3456
380;4933
205;2670
205;2653
65;2633
380;2522
260;4996
65;2619
115;4729
85;4108
255;3766
434;3899
395;2565
65;4012
65;3651
420;2614
65;2835
85;3858
260;2567
434;3400
410;4097
410;4062
305;3521
395;4495
55;3986
260;3465
370;3420
461;2190
300;2954
395;4260
421;4148
260;5027
260;3731
35;3797
380;2514
259;3986
300;2285
65;3723
260;2954
260;2650
300;4138
434;4558
65;2626
260;2636
395;4572
297;4067
255;4533
300;4591
65;2191
35;4901
260;3986
65;2806
