Store Number;Store Name;Address;City
4614;URBAN LIQUOR;6401 DOUGLAS AVE STE 1;URBANDALE
2549;HY-VEE FOOD STORE / INDIANOLA;910 N JEFFERSON;INDIANOLA
3990;CORK AND BOTTLE / OSKALOOSA;309 A AVE WEST;OSKALOOSA
3573;QUIK SHOP FOODS / FOUR M IN;405 S MADISON;OTTUMWA
4057;TEQUILA'S LIQUOR STORE;1434 DES MOINES ST STE 5;DES MOINES
3942;TWIN TOWN LIQUOR;104 HIGHWAY 30 WEST;TOLEDO
2445;RUBACK'S FOOD CENTER;504 SOUTH HIGHWAY;OAKLAND
4622;QUIK TRIP #544 / SE 14TH DM;3941, SE 14TH ST;DES MOINES
3587;SAVE A LOT  #482;2122 MAIN ST;KEOKUK
2285;JOHN'S GROCERY;401 EAST MARKET ST;IOWA CITY
5083;CENTRAL MART;1203, TRI VIEW AVE;SIOUX CITY
2619;HY-VEE WINE AND SPIRITS / WDM;1725  74TH ST;WEST DES MOINES
4637;KWIK SHOP #560 / CEDAR RAPIDS;3301 J ST;CEDAR RAPIDS
2620;HY-VEE / WINDSOR HEIGHTS;7101 UNIVERSITY AVE;WINDSOR HEIGHTS
2535;HY-VEE FOOD STORE #1 / WDM;1700 VALLEY WEST DR;WEST DES MOINES
3907;SMOKIN' JOE'S #16 TOBACCO AND LIQUOR;1504 PARK AVE;MUSCATINE
2670;HY-VEE FOOD STORE / CORALVILLE;2004 8TH  ST;CORALVILLE
2591;HY-VEE WINE AND SPIRITS / ATLANTIC;1602 E. 7TH ST.;ATLANTIC
2576;HY-VEE WINE AND SPIRITS / STORM LAKE;1250 N LAKE ST;STORM LAKE
4649;METRO LIQUOR AND TOBACCO;3418 W BROADWAY;COUNCIL BLUFFS
2841;CVS PHARMACY #8532 / CEDAR RAPIDS;2711 MT VERNON RD;CEDAR RAPIDS
2637;HY-VEE #5 / DAVENPORT;2351 W LOCUST;DAVENPORT
3776;WAL-MART 5115 / DAVENPORT;3101 WEST KIMBERLY RD;DAVENPORT
3926;LIQUOR DOWNTOWN / IOWA CITY;315 S GILBERT ST;IOWA CITY
2524;HY-VEE FOOD STORE / DUBUQUE;3500 DODGE ST;DUBUQUE
4442;A-TOWN LIQUOR STORE;212 10TH ST;ALTON
2511;HY-VEE / DRUGTOWN #2 / CEDAR RAPIDS;1440 32ND STREET, N.E.;CEDAR RAPIDS
3494;SAM'S CLUB 6514 / WATERLOO;210 EAST TOWER PARK DR;WATERLOO
3644;WAL-MART 2764 / ALTOONA;3501  8TH ST SW;ALTOONA
2487;ANAMOSA FAMILY FOODS;402 EAST MAIN;ANAMOSA
2643;HY-VEE WINE AND SPIRITS / WATERLOO;2126 KIMBALL AVE;WATERLOO
4624;KWIK SHOP #568 / HIAWATHA;300 E BLAIRS FERRY RD;HIAWATHA
3728;BREWSKI'S BEVERAGE;726 CREEK TOP;COUNCIL BLUFFS
2599;HY-VEE WINE AND SPIRITS / CORALVILLE;1914 8TH STREET;CORALVILLE
3917;SMOKIN' JOE'S #2 TOBACCO AND LIQUOR;1606 W LOCUST ST;DAVENPORT
2606;HY-VEE WINE AND SPIRITS / HUMBOLDT;1011  13TH ST NORTH;HUMBOLDT
4414;KUM & GO #23 / NEOLA;29356 298TH ST;NEOLA
4934;CASEY'S GENERAL STORE #2811 / SPRING;605, 6TH ST S;SPRINGVILLE
4183;FAREWAY STORES #589 / DECORAH;103 E MAIN;DECORAH
3943;GOOD AND QUICK CO;519 LINCOLNWAY;NEVADA
4757;EZ MART / BONDURANT;1111 SE LINCOLN ST;BONDURANT
3529;A TO Z LIQUOR AND SMOKE SHOP;114 S SECOND;CHEROKEE
4677;COSTCO WHOLESALE #1111 / CORALVILLE;2900 HEARTLAND DR;CORALVILLE
2626;HY-VEE DRUGSTORE / UNIVERSITY / DSM;4100 UNIVERSITY AVE;DES MOINES
4718;WALGREENS #06623 / WEST DES MOINES;1660 22ND ST;WEST DES MOINES
3896;SMOKIN' JOE'S #18 TOBACCO AND LIQUOR;1901 BROADWAY ST;IOWA CITY
4648;PRIME MART / BROADWAY WATERLOO;508 BROADWAY ST;WATERLOO
4384;KUM & GO #2093 / ADEL;409 NILE KINNICK DR;ADEL
2835;CVS PHARMACY #8538 / CEDAR FALLS;2302 WEST FIRST ST;CEDAR FALLS
2191;KEOKUK SPIRITS;1013 MAIN;KEOKUK
3952;LOT-A-SPIRITS;3780 STATE ST;BETTENDORF
4969;LAKE LIQUORS WINE AND SPIRITS;910 N 8TH ST W;CLEAR LAKE
4725;CASEY'S GENERAL STORE #1548 / ANKENY;2905, W  1ST ST;ANKENY
2604;HY-VEE WINE AND SPIRITS / LEMARS;1201 12TH AVE SW;LEMARS
4069;FAREWAY STORES #648 / OTTUMWA;1325 ALBIA RD;OTTUMWA
3612;B AND C LIQUOR / MAQUOKETA;509 E PLATT;MAQUOKETA
4630;EZ STOP / DAVENPORT;2923 BRADY ST;DAVENPORT
2660;HY-VEE FOOD STORE / SIOUX CENTER;1951 S MAIN AVE;SIOUX CENTER
2573;HY-VEE FOOD STORE / MUSCATINE;2400 2ND AVE;MUSCATINE
2602;HY-VEE FOOD STORE / WEBSTER CITY;823  2ND ST;WEBSTER CITY
3869;BOOTLEGGIN' BARZINI'S FIN;412  1ST AVE;CORALVILLE
4803;WALGREENS #07453 / DES MOINES;104 E EUCLID AVE;DES MOINES
3390;OKOBOJI AVENUE LIQUOR;1610 OKOBOJI AVENUE;MILFORD
2616;HY-VEE FOOD AND DRUG / CLINTON;901 SOUTH 4TH ST;CLINTON
4879;SAM'S MINI MART / MORNINGSIDE AVE SI;4218 MORNINGSIDE AVE;SIOUX CITY
4011;JIM AND CHARLIES AFFILIATED;121 NORTH CLINTON;ALBIA
2662;HY-VEE WINE & SPIRITS / MUSCATINE;522 MULBERRY, SUITE A;MUSCATINE
2498;CHARLEY'S QUIK SHOP;910 MAIN ST;ARLINGTON
2132;SPIRITS AND SUCH;100 E ELM;WEST UNION
4366;KUM & GO #137 / TIFFIN;101 VILLAGE DR;TIFFIN
4311;FAREWAY STORES #508 / FORT DODGE;1231  1ST AVE S;FORT DODGE
4236;FAREWAY STORES #551 / EAGLE GROVE;205 NW  1ST ST;EAGLE GROVE
3632;WAL-MART 2004 / DUBUQUE;4200 DODGE ST;DUBUQUE
3805;WASHINGTON STREET MINI MART;1601 WASHINGTON ST;DAVENPORT
4340;DAHL'S FOODS / AMES;3121 GRAND AVE;AMES
4167;IOWA STREET MARKET, INC.;1256 IOWA ST;DUBUQUE
4998;LAKE CITY FOOD CENTER;820 E MAIN ST;LAKE CITY
4420;KUM & GO #38 / OTTUMWA;534 CHURCH ST;OTTUMWA
3738;HARTIG DRUG COMPANY #4 / DUBUQUE;2225 CENTRAL AVE;DUBUQUE
2508;HY-VEE FOOD STORE #1 / CEDAR RAPIDS;1843 JOHNSON AVENUE, N.W.;CEDAR RAPIDS
2536;HY-VEE / PLEASANT HILL;4815 MAPLE DRIVE;PLEASANT HILL
2624;HY-VEE #2 / DUBUQUE;2395 NW ARTERIAL RD;DUBUQUE
2565;HY-VEE FOOD STORE / SPENCER;819 N GRAND AVE;SPENCER
3354;SAM'S CLUB 8238 / DAVENPORT;3845 ELMORE AVE.;DAVENPORT
4574;THULORDS;413 BROAD ST;WHITTEMORE
