Zip Code;City
50322;URBANDALE
50125;INDIANOLA
52577;OSKALOOSA
52501;OTTUMWA
50316;DES MOINES
52342;TOLEDO
51560;OAKLAND
50320;DES MOINES
52632;KEOKUK
52240;IOWA CITY
51104;SIOUX CITY
50266;WEST DES MOINES
52404;CEDAR RAPIDS
50311;WINDSOR HEIGHTS
50265;WEST DES MOINES
52761;MUSCATINE
52241;CORALVILLE
50022;ATLANTIC
50588;STORM LAKE
51501;COUNCIL BLUFFS
52403;CEDAR RAPIDS
52804;DAVENPORT
52806;DAVENPORT
52001;DUBUQUE
51003;ALTON
52402;CEDAR RAPIDS
50702;WATERLOO
50009;ALTOONA
52205;ANAMOSA
50701;WATERLOO
52233;HIAWATHA
51503;COUNCIL BLUFFS
50548;HUMBOLDT
51559;NEOLA
52336;SPRINGVILLE
52101;DECORAH
50201;NEVADA
50035;BONDURANT
51012;CHEROKEE
50311;DES MOINES
50703;WATERLOO
50003;ADEL
50613;CEDAR FALLS
52722;BETTENDORF
50428;CLEAR LAKE
50023;ANKENY
51031;LEMARS
52060;MAQUOKETA
52803;DAVENPORT
51250;SIOUX CENTER
50595;WEBSTER CITY
50313;DES MOINES
51351;MILFORD
52732;CLINTON
51106;SIOUX CITY
52531;ALBIA
50606;ARLINGTON
52175;WEST UNION
52340;TIFFIN
50501;FORT DODGE
50533;EAGLE GROVE
52003;DUBUQUE
52084;DAVENPORT
50010;AMES
51449;LAKE CITY
52405;CEDAR RAPIDS
50317;PLEASANT HILL
52002;DUBUQUE
51301;SPENCER
52807;DAVENPORT
50598;WHITTEMORE
52317;NORTH LIBERTY
50854;MOUNT AYR
50111;GRIMES
51334;ESTHERVILLE
51346;HARTLEY
51521;AVOCA
50677;WAVERLY
52310;MONTICELLO
50021;ANKENY
50851;LENOX
51632;CLARINDA
50627;ELDORA
50140;LAMONI
52601;BURLINGTON
51237;GEORGE
50315;DES MOINES
50174;MURRAY
52556;FAIRFIELD
50131;JOHNSTON
50401;MASON CITY
50707;EVANSDALE
50310;DES MOINES
50112;GRINNELL
52332;SHELLSBURG
50536;EMMETSBURG
52214;CENTRAL CITY
51537;HARLAN
50801;CRESTON
52040;DYERSVILLE
51566;RED OAK
52327;RIVERSIDE
51401;CARROLL
52753;LE CLAIRE
50263;WAUKEE
52641;MOUNT PLEASANT
52401;CEDAR RAPIDS
50300;DES MOINES
51105;SIOUX CITY
50314;DES MOINES
50461;OSAGE
50421;BELMOND
52411;CEDAR RAPIDS
50644;INDEPENDENCE
51360;SPIRIT LAKE
50574;POCAHONTAS
50273;WINTERSET
50250;STUART
51241;LARCHWOOD
50579;ROCKWELL CITY
50441;HAMPTON
50208;NEWTON
52314;MT VERNON
51248;SANBORN
51249;SIBLEY
51031;LE MARS
50662;OELWEIN
51601;SHENANDOAH
52353;WASHINGTON
51342;GRAETTINGER
51103;SIOUX CITY
52501;OTTUWMA
51331;ARNOLD'S PARK
52627;FORT MADISON
50213;OSCEOLA
50651;LA PORTE CITY
51442;DENISON
52301;MARENGO
50317;DES MOINES
51055;SLOAN
50321;DES MOINES
52162;POSTVILLE
50014;AMES
50616;CHARLES CITY
52637;MEDIAPOLIS
51023;HAWARDEN
50225;PLEASANTVILLE
50322;DES MOINES
52302;MARION
52033;CASCADE
50122;HUBBARD
50248;STORY CITY
52591;SIGOURNEY
50636;GREENE
52544;CENTERVILLE
50517;BANCROFT
50554;LAURENS
50163;MELCHER-DALLAS
50619;CLARKSVILLE
52726;BLUE GRASS
51534;GLENWOOD
50667;RAYMOND
50158;MARSHALLTOWN
52172;WAUKON
52802;DAVENPORT
51466;WALL LAKE
50423;BRITT
50126;IOWA FALLS
50036;BOONE
52213;CENTER POINT
52772;TIPTON
51108;SIOUX CITY
50849;GREENFIELD
50309;DES MOINES
52245;IOWA CITY
7122;DUNLAP
52057;MANCHESTER
51461;SCHLESWIG
52246;IOWA CITY
50312;DES MOINES
50054;COLFAX
51101;SIOUX CITY
50483;WESLEY
52159;MONONA
50129;JEFFERSON
50325;CLIVE
50248;CLEAR LAKE
52052;GUTTENBURG
50138;KNOXVILLE
52161;OSSIAN
51054;SERGEANT BLUFF
50459;NORTHWOOD
52052;GUTTENBERG
51450;LAKE VIEW
52565;KEOSAUQUA
50543;GOWRIE
51040;ONAWA
52748;ELDRIDGE
50060;CORYDON
